ID,datetime,session_start,time,sw_flip,sw_offset,sw_subwave_num,sw_number,mo_y,mo_x,mo_fake_release,mo_act_drag,mo_lobe,level,version,device_timezone,device_OS,time_diff,coord_diff,total_sw_events,first,last,target_location,action_location,action_location_normalized,actions,actions_normalized,collect,false_collect,action_sequences,action_sequences_str,count,sw_start,last_sw,ba_time,ba_position,ba_ID,ba_age,last_ba_sw,is_last_sw,session_score,session_nr,threshold,session_cleared,learned,learning,diff,score,previous_score,prev_action_sequences_str,action_seq_frequency,rank,rank_pct,prev_rank,top,top_prev,puzzle_attempt,cum_score,trial_score,cum_score_s6,cum_score_last_6,threshold_puzzle,first_threshold
1072,2020-12-17 19:37:33,32091,35345.0,True,2.0,5.0,1.0,200.00003,-17.928406,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,-278530.0,-352.2345,7.0,True,False,4.0,0.0,2.0,0.0,2.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,,,2.0,111.0,0.8077365876122496,7.0,other,first,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,38101.0,True,2.0,5.0,1.0,46.111115,187.64948,0.0,True,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,2756.0,359.4668,7.0,False,False,4.0,0.0,2.0,-0.0,-2.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,38569.0,True,2.0,5.0,1.0,-32.2222,139.31091,0.0,False,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,468.0,29.994751,7.0,False,False,4.0,4.0,0.0,4.0,0.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,40023.0,True,2.0,5.0,1.0,-120.55554,18.742249,0.0,False,4.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1454.0,-32.23532,7.0,False,False,4.0,3.0,5.0,3.0,5.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,40808.0,True,2.0,5.0,1.0,-63.33333,-95.7146,0.0,False,3.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,785.0,-171.67906,7.0,False,False,4.0,2.0,4.0,2.0,4.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,41526.0,True,2.0,5.0,1.0,103.33334,-172.94519,0.0,False,2.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,718.0,-243.89726,7.0,False,False,4.0,1.0,3.0,1.0,3.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,42147.0,True,2.0,5.0,1.0,196.66669,-18.484009,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,621.0,61.12784,7.0,False,True,4.0,0.0,2.0,0.0,2.0,False,False,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]","[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",2.0,35345.0,6.0,42429.0,4.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,,2.0,111.0,0.8077365876122496,7.0,other,7.0,1,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,48478.0,True,3.0,3.0,2.0,-59.444427,130.42102,0.0,False,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,6331.0,405.01614,7.0,True,False,3.0,4.0,1.0,4.0,1.0,False,False,"[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]","[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]",4.0,48478.0,6.0,57417.0,3.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",4.0,109.0,0.9087036610637808,111.0,other,other,2,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,50582.0,True,3.0,3.0,2.0,-144.44444,8.185547,0.0,False,4.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,2104.0,-37.23546,7.0,False,False,3.0,3.0,0.0,3.0,0.0,False,False,"[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]","[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]",4.0,48478.0,6.0,57417.0,3.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",4.0,109.0,0.9087036610637808,111.0,other,other,2,0.0,0.0,,,False,1.0
1072,2020-12-17 19:37:33,32091,52252.0,True,3.0,3.0,2.0,-51.666656,-142.94196,0.0,False,3.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1670.0,-243.90529,7.0,False,False,3.0,2.0,5.0,2.0,5.0,False,False,"[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]","[1.0, 0.0, 5.0, 0.0, 5.0, 0.0, 1.0]",4.0,48478.0,6.0,57417.0,3.0,0.0,7.0,6.0,False,144.0,0.0,True,0.0,True,True,,0.0,0.0,"[2.0, -2.0, 0.0, 5.0, 4.0, 3.0, 2.0]",4.0,109.0,0.9087036610637808,111.0,other,other,2,0.0,0.0,,,False,1.0
